中文名称,英文名称,国籍,位置,年龄
颜骏凌,Yan Junling,中国,守门员,24
武磊,Wu Lei,中国,前锋,23
达里奥·孔卡,Darío Conca,阿根廷,中场,31
蔡慧康,Cai Huikang,中国,中场,25
王燊超,Wang Shenchao,中国,后卫,25
孙祥,Sun Xiang,中国,后卫,33
达维·罗德里格斯,Davi Rodrigues de Jesus,巴西,中场,30
托比亚斯·海森,Tobias Hysén,瑞典,前锋,32
于海,Yu Hai,中国,后卫,27
金周荣,Kim Ju-young,韩国,后卫,26
石柯,Shi Ke,中国,后卫,22
汪佳捷,Wang Jiajie,中国,后卫,26
吕文君,Lü Wenjun,中国,前锋,25
杨博宇,Yang Boyu,中国,后卫,25
贺惯,He Guan,中国,后卫,22
阿萨莫阿·吉安,Asamoah Gyan,加纳,前锋,29
让·埃弗拉,Jean Evrard Kouassi,科特迪瓦,前锋,20
傅欢,Fu Huan,中国,后卫,21
张卫,Zhang Wei,中国,后卫,21
林创益,Lin Chuangyi,中国,中场,22
王佳玉,Wang Jiayu,中国,中场,24
李浩文,Li Haowen,中国,前锋,21
杨世元,Yang Shiyuan,中国,中场,20
朱峥嵘,Zhu Zhengrong,中国,中场,26
郑达伦,Zheng Dalun,中国,后卫,20
吴海天,Wu Haitian,中国,后卫,20
董佳林,Dong Jialin,中国,守门员,21
孙乐,Sun Le,中国,守门员,25
郑致云,Zheng Zhiyun,中国,后卫,19