号码,姓名,出生日期,年龄,位置,国籍
1,任子豪,2004/8/6,22,门将,中国
5,范威阳,2002/3/25,24,后卫,中国
7,王逸伟,2004/3/20,22,后卫,中国
8,范阳阳,2003/10/1,23,前卫,中国
9,黎德明,2003/9/21,23,前卫,中国
10,张慧宇,2003/2/28,23,前锋,中国
13,姜天乐,2007/11/5,19,后卫,中国
14,李圣龙,1992/7/30,34,前锋,中国
16,李佳奇,2003/11/9,23,前卫,中国
18,韩杨,2006/1/26,20,前锋,中国
19,黄雍海,2005/6/6,21,后卫,中国
20,谢鸿宇,2002/4/16,24,后卫,中国
21,黎明,2006/5/23,20,后卫,中国
23,李阳,2007/5/4,19,前卫,中国
24,李瑞龙,2007/6/2,19,前卫,中国
27,任晓航,2007/9/30,19,前卫,中国
29,陆威宇,2007/5/13,19,前卫,中国
30,许瑞轩,2007/3/8,19,后卫,中国
35,温钧翔,2007/9/9,19,前锋,中国
37,张俊杰,2006/10/15,20,前卫,中国
43,汪照普,2007/3/5,19,前卫,中国
44,杨黔东,2008/1/1,18,前卫,中国
46,崔峻诚,2007/3/16,19,前锋,中国
48,李俊哲,2008/2/10,18,后卫,中国
50,王启戎,2008/6/30,18,门将,中国
51,刘铁诚,2006/4/22,20,后卫,中国
52,刘文钦,2007/4/21,19,后卫,中国
53,李智良,2007/6/18,19,门将,中国
54,王东承,2007/11/22,19,后卫,中国
55,张宇航,2006/9/18,20,门将,中国
56,姜宇斐,2007/3/23,19,前卫,中国
57,梁锦鸿,2008/11/10,18,前卫,中国
58,曹哲哲,2006/2/23,20,前卫,中国
59,王晶磊,2007/3/20,19,后卫,中国
60,王丹,2006/3/3,20,前锋,中国