season,match_type,match_name,round,date,home_team,away_team,result,win_loss
2014,中超联赛,中超联赛22轮,第22轮,2014-08-23,上海上港,大连阿尔滨,2-0,胜
2014,中超联赛,中超联赛23轮,第23轮,2014-08-31,上海申花,上海上港,1-1,平
2014,中超联赛,中超联赛24轮,第24轮,2014-09-13,上海上港,广州恒大,0-3,负
2014,中超联赛,中超联赛25轮,第25轮,2014-09-21,上海上港,广州富力,1-2,负
2014,中超联赛,中超联赛26轮,第26轮,2014-09-28,贵州人和,上海上港,1-1,平
2014,中超联赛,中超联赛27轮,第27轮,2014-10-05,上海上港,山东鲁能,0-0,平
2014,中超联赛,中超联赛28轮,第28轮,2014-10-19,哈尔滨毅腾,上海上港,1-1,平
2014,中超联赛,中超联赛29轮,第29轮,2014-10-26,上海上港,江苏舜天,3-0,胜
2014,中超联赛,中超联赛30轮,第30轮,2014-11-02,天津泰达,上海上港,3-3,平
2015,中超联赛,中超联赛1轮,第1轮,2015-03-07,上海上港,江苏舜天,2-1,胜
2015,中超联赛,中超联赛2轮,第2轮,2015-03-15,上海申鑫,上海上港,0-2,胜
2015,中超联赛,中超联赛3轮,第3轮,2015-03-22,上海上港,广州富力,2-1,胜
2015,中超联赛,中超联赛4轮,第4轮,2015-04-05,天津泰达,上海上港,0-0,平
2015,中超联赛,中超联赛5轮,第5轮,2015-04-12,上海上港,北京国安,1-1,平
2015,中超联赛,中超联赛6轮,第6轮,2015-04-19,上海上港,重庆力帆,2-1,胜
2015,中超联赛,中超联赛7轮,第7轮,2015-04-26,上海上港,河南建业,3-0,胜
2015,中超联赛,中超联赛8轮,第8轮,2015-05-03,杭州绿城,上海上港,1-1,平
2015,中超联赛,中超联赛9轮,第9轮,2015-05-09,上海上港,上海申花,5-0,胜
2015,足协杯,足协杯十六分之一决赛,十六分之一决赛,2015-05-12,大连超越,上海上港,1-2,胜
2015,中超联赛,中超联赛10轮,第10轮,2015-05-15,广州恒大,上海上港,1-1,平
2015,中超联赛,中超联赛11轮,第11轮,2015-05-22,贵州人和,上海上港,2-0,负
2015,中超联赛,中超联赛12轮,第12轮,2015-05-29,上海上港,山东鲁能,3-4,负
2015,中超联赛,中超联赛13轮,第13轮,2015-06-03,石家庄永昌,上海上港,2-2,平
2015,中超联赛,中超联赛14轮,第14轮,2015-06-19,上海上港,长春亚泰,5-3,胜
2015,中超联赛,中超联赛15轮,第15轮,2015-06-24,辽宁宏运,上海上港,1-3,胜
2015,中超联赛,中超联赛16轮,第16轮,2015-06-27,江苏舜天,上海上港,1-4,胜
2015,中超联赛,中超联赛17轮,第17轮,2015-07-05,上海上港,上海申鑫,2-0,胜
2015,足协杯,足协杯八分之一决赛,八分之一决赛,2015-07-08,上海上港,广州富力,2-1,胜
2015,中超联赛,中超联赛18轮,第18轮,2015-07-12,广州富力,上海上港,2-3,胜
2015,中超联赛,中超联赛19轮,第19轮,2015-07-16,上海上港,天津泰达,2-1,胜
2015,中超联赛,中超联赛20轮,第20轮,2015-07-20,北京国安,上海上港,0-0,平
2015,中超联赛,中超联赛21轮,第21轮,2015-07-25,重庆力帆,上海上港,2-4,胜
2015,中超联赛,中超联赛22轮,第22轮,2015-08-12,河南建业,上海上港,2-2,平
2015,中超联赛,中超联赛23轮,第23轮,2015-08-16,上海上港,杭州绿城,2-1,胜
2015,足协杯,足协杯四分之一决赛,四分之一决赛,2015-08-19,上海申花,上海上港,3-3,平
2015,中超联赛,中超联赛24轮,第24轮,2015-08-23,上海申花,上海上港,1-2,胜
2015,中超联赛,中超联赛25轮,第25轮,2015-09-12,上海上港,广州恒大,0-3,负
2015,中超联赛,中超联赛26轮,第26轮,2015-09-19,上海上港,贵州人和,3-1,胜
2015,中超联赛,中超联赛27轮,第27轮,2015-09-26,山东鲁能,上海上港,0-1,胜
2015,中超联赛,中超联赛28轮,第28轮,2015-10-17,上海上港,石家庄永昌,2-2,平
2015,中超联赛,中超联赛29轮,第29轮,2015-10-25,长春亚泰,上海上港,0-2,胜
2015,中超联赛,中超联赛30轮,第30轮,2015-10-31,上海上港,辽宁宏运,2-1,胜
2016,亚冠联赛,亚冠联赛资格赛第三轮,第3轮,2016-02-09,上海上港,蒙通联,3-0,胜
2016,亚冠联赛,亚冠联赛G组第一轮,第1轮,2016-02-24,墨尔本胜利,上海上港,2-1,负
2016,亚冠联赛,亚冠联赛G组第二轮,第2轮,2016-03-02,上海上港,水原三星,2-1,胜
2016,中超联赛,中超联赛1轮,第1轮,2016-03-05,河南建业,上海上港,1-0,负
2016,中超联赛,中超联赛2轮,第2轮,2016-03-11,上海上港,上海申花,1-1,平
2016,亚冠联赛,亚冠联赛G组第三轮,第3轮,2016-03-15,上海上港,大阪钢巴,2-1,胜
2016,中超联赛,中超联赛3轮,第3轮,2016-04-02,重庆力帆,上海上港,1-1,平
2016,亚冠联赛,亚冠联赛G组第四轮,第4轮,2016-04-06,大阪钢巴,上海上港,0-2,胜
2016,中超联赛,中超联赛4轮,第4轮,2016-04-10,上海上港,辽宁宏运,4-0,胜
2016,中超联赛,中超联赛5轮,第5轮,2016-04-15,上海上港,广州富力,1-0,胜
2016,亚冠联赛,亚冠联赛G组第五轮,第5轮,2016-04-19,上海上港,墨尔本胜利,3-1,胜
2016,中超联赛,中超联赛6轮,第6轮,2016-04-24,长春亚泰,上海上港,1-3,胜
2016,中超联赛,中超联赛7轮,第7轮,2016-04-29,上海上港,延边富德,3-0,胜
2016,亚冠联赛,亚冠联赛G组第六轮,第6轮,2016-05-03,水原三星,上海上港,3-0,负
2016,中超联赛,中超联赛8轮,第8轮,2016-05-08,石家庄永昌,上海上港,1-2,胜
2016,足协杯,足协杯十六分之一决赛,十六分之一决赛,2016-05-11,北京北控,上海上港,0-1,胜
2016,中超联赛,中超联赛9轮,第9轮,2016-05-14,北京国安,上海上港,2-1,负
2016,亚冠联赛,亚冠联赛八分之一决赛首回合轮,八分之一决赛首回合,2016-05-17,东京FC,上海上港,2-1,负
2016,中超联赛,中超联赛10轮,第10轮,2016-05-21,上海上港,杭州绿城,1-0,胜
2016,亚冠联赛,亚冠联赛八分之一决赛次回合轮,八分之一决赛次回合,2016-05-24,上海上港,东京FC,1-0,胜
2016,中超联赛,中超联赛11轮,第11轮,2016-05-29,广州恒大,上海上港,1-1,平
2016,中超联赛,中超联赛12轮,第12轮,2016-06-11,上海上港,江苏苏宁,1-2,负
2016,中超联赛,中超联赛21(提前)轮,21(提前),2016-06-15,上海上港,长春亚泰,1-1,平
2016,中超联赛,中超联赛13轮,第13轮,2016-06-19,山东鲁能,上海上港,0-0,平
2016,中超联赛,中超联赛14轮,第14轮,2016-06-25,上海上港,天津泰达,1-1,平
2016,足协杯,足协杯八分之一决赛,八分之一决赛,2016-06-29,广州富力,上海上港,1-0,负
2016,中超联赛,中超联赛15轮,第15轮,2016-07-03,河北华夏,上海上港,0-2,胜
2016,中超联赛,中超联赛16轮,第16轮,2016-07-10,上海上港,河南建业,5-0,胜
2016,中超联赛,中超联赛17轮,第17轮,2016-07-17,上海申花,上海上港,2-1,负
2016,中超联赛,中超联赛18轮,第18轮,2016-07-20,上海上港,重庆力帆,5-3,胜
2016,中超联赛,中超联赛19轮,第19轮,2016-07-23,辽宁宏运,上海上港,3-1,负
2016,中超联赛,中超联赛20轮,第20轮,2016-07-31,广州富力,上海上港,3-3,平
2016,中超联赛,中超联赛22轮,第22轮,2016-08-13,延边富德,上海上港,1-1,平
2016,中超联赛,中超联赛23轮,第23轮,2016-08-19,上海上港,石家庄永昌,4-1,胜
2016,亚冠联赛,亚冠联赛四分之一决赛首回合轮,四分之一决赛首回合,2016-08-23,上海上港,全北现代,0-0,平
2016,中超联赛,中超联赛24轮,第24轮,2016-09-09,上海上港,北京国安,2-2,平
2016,亚冠联赛,亚冠联赛四分之一决赛次回合轮,四分之一决赛次回合,2016-09-13,全北现代,上海上港,5-0,负
2016,中超联赛,中超联赛25轮,第25轮,2016-09-18,杭州绿城,上海上港,1-2,胜
2016,中超联赛,中超联赛26轮,第26轮,2016-09-24,上海上港,广州恒大,0-0,平
2016,中超联赛,中超联赛27轮,第27轮,2016-10-15,江苏苏宁,上海上港,2-1,负
2016,中超联赛,中超联赛28轮,第28轮,2016-10-22,上海上港,山东鲁能,4-1,胜
2016,中超联赛,中超联赛29轮,第29轮,2016-10-26,天津泰达,上海上港,0-1,胜
2016,中超联赛,中超联赛30轮,第30轮,2016-10-30,上海上港,河北华夏,3-1,胜
2017,亚冠联赛,亚冠联赛资格赛第三轮,第3轮,2017-02-07,上海上港,素可泰,3-0,胜
2017,亚冠联赛,亚冠联赛F组第一轮,第1轮,2017-02-21,首尔FC,上海上港,0-1,胜
2017,亚冠联赛,亚冠联赛F组第二轮,第2轮,2017-02-28,上海上港,西悉尼流浪者,5-1,胜
2017,中超联赛,中超联赛1轮,第1轮,2017-03-04,上海上港,长春亚泰,5-1,胜
2017,中超联赛,中超联赛2轮,第2轮,2017-03-10,上海上港,延边富德,2-0,胜
2017,亚冠联赛,亚冠联赛F组第三轮,第3轮,2017-03-15,上海上港,浦和红钻,3-2,胜
2017,中超联赛,中超联赛3轮,第3轮,2017-04-01,广州恒大,上海上港,3-2,负
2017,中超联赛,中超联赛4轮,第4轮,2017-04-07,上海上港,山东鲁能,2-1,胜
2017,亚冠联赛,亚冠联赛F组第四轮,第4轮,2017-04-11,浦和红钻,上海上港,1-0,负
2017,中超联赛,中超联赛5轮,第5轮,2017-04-15,天津权健,上海上港,1-1,平
2017,中超联赛,中超联赛6轮,第6轮,2017-04-21,上海上港,河北华夏,3-0,胜
2017,亚冠联赛,亚冠联赛F组第五轮,第5轮,2017-04-26,上海上港,首尔FC,4-2,胜
2017,中超联赛,中超联赛7轮,第7轮,2017-04-30,重庆力帆,上海上港,1-1,平
2017,足协杯,足协杯十六分之一决赛,十六分之一决赛,2017-05-03,石家庄永昌,上海上港,0-2,胜
2017,中超联赛,中超联赛8轮,第8轮,2017-05-06,上海上港,恒丰智诚,3-0,胜
2017,亚冠联赛,亚冠联赛F组第六轮,第6轮,2017-05-10,西悉尼流浪者,上海上港,3-2,负
2017,中超联赛,中超联赛9轮,第9轮,2017-05-14,天津泰达,上海上港,0-1,胜
2017,中超联赛,中超联赛10轮,第10轮,2017-05-20,上海申花,上海上港,1-3,胜
2017,亚冠联赛,亚冠联赛八分之一决赛首回合轮,八分之一决赛首回合,2017-05-24,上海上港,江苏苏宁,2-1,胜
2017,中超联赛,中超联赛11轮,第11轮,2017-05-27,上海上港,北京国安,5-1,胜
2017,亚冠联赛,亚冠联赛八分之一决赛次回合轮,八分之一决赛次回合,2017-05-31,江苏苏宁,上海上港,2-3,胜
2017,中超联赛,中超联赛12轮,第12轮,2017-06-03,上海上港,辽宁宏运,4-1,胜
2017,中超联赛,中超联赛13轮,第13轮,2017-06-18,广州富力,上海上港,1-1,平
2017,足协杯,足协杯八分之一决赛,八分之一决赛,2017-06-21,苏州东吴,上海上港,1-1,平
2017,中超联赛,中超联赛14轮,第14轮,2017-06-25,上海上港,河南建业,4-1,胜
2017,中超联赛,中超联赛15轮,第15轮,2017-07-01,江苏苏宁,上海上港,0-1,胜
2017,中超联赛,中超联赛16轮,第16轮,2017-07-09,长春亚泰,上海上港,4-2,负
2017,中超联赛,中超联赛17轮,第17轮,2017-07-15,延边富德,上海上港,1-3,胜
2017,足协杯,足协杯四分之一决赛首回合轮,四分之一决赛首回合,2017-07-19,天津权健,上海上港,3-0,负
2017,中超联赛,中超联赛18轮,第18轮,2017-07-22,上海上港,广州恒大,2-2,平
2017,中超联赛,中超联赛19轮,第19轮,2017-07-30,山东鲁能,上海上港,2-1,负
2017,足协杯,足协杯四分之一决赛次回合轮,四分之一决赛次回合,2017-08-03,上海上港,天津权健,4-0,胜
2017,中超联赛,中超联赛20轮,第20轮,2017-08-06,上海上港,天津权健,0-0,平
2017,中超联赛,中超联赛21轮,第21轮,2017-08-10,华夏幸福,上海上港,2-2,平
2017,中超联赛,中超联赛22轮,第22轮,2017-08-13,上海上港,重庆力帆,3-2,胜
2017,足协杯,足协杯半决赛首回合轮,半决赛首回合,2017-08-16,上海上港,广州恒大,2-1,胜
2017,中超联赛,中超联赛23轮,第23轮,2017-08-19,恒丰智诚,上海上港,2-1,负
2017,亚冠联赛,亚冠联赛四分之一决赛首回合轮,四分之一决赛首回合,2017-08-22,上海上港,广州恒大,4-0,胜
2017,中超联赛,中超联赛24轮,第24轮,2017-09-09,上海上港,天津泰达,3-1,胜
2017,亚冠联赛,亚冠联赛四分之一决赛次回合轮,四分之一决赛次回合,2017-09-12,广州恒大,上海上港,5-1,负
2017,中超联赛,中超联赛25轮,第25轮,2017-09-16,上海上港,上海申花,6-1,胜
2017,中超联赛,中超联赛26轮,第26轮,2017-09-22,北京国安,上海上港,0-1,胜
2017,亚冠联赛,亚冠联赛半决赛首回合轮,半决赛首回合,2017-09-27,上海上港,浦和红钻,1-1,平
2017,足协杯,足协杯半决赛次回合轮,半决赛次回合,2017-09-30,广州恒大,上海上港,1-4,胜
2017,中超联赛,中超联赛27轮,第27轮,2017-10-14,辽宁宏运,上海上港,3-3,平
2017,亚冠联赛,亚冠联赛半决赛次回合轮,半决赛次回合,2017-10-18,浦和红钻,上海上港,1-0,负
2017,中超联赛,中超联赛28轮,第28轮,2017-10-22,上海上港,广州富力,1-2,负
2017,中超联赛,中超联赛29轮,第29轮,2017-10-29,河南建业,上海上港,2-4,胜
2017,中超联赛,中超联赛30轮,第30轮,2017-11-04,上海上港,江苏苏宁,2-3,负
2017,足协杯,足协杯决赛首回合轮,决赛首回合,2017-11-19,上海申花,上海上港,1-0,负
2017,足协杯,足协杯决赛次回合轮,决赛次回合,2017-11-26,上海上港,上海申花,3-2,胜
2018,亚冠联赛,亚冠联赛资格赛第三轮,第3轮,2018-01-30,上海上港,清莱联,1-0,胜
2018,亚冠联赛,亚冠联赛F组第一轮,第1轮,2018-02-13,川崎前锋,上海上港,0-1,胜
2018,亚冠联赛,亚冠联赛F组第二轮,第2轮,2018-02-20,上海上港,墨尔本胜利,4-1,胜
2018,中超联赛,中超联赛1轮,第1轮,2018-03-03,上海上港,大连一方,8-0,胜
2018,亚冠联赛,亚冠联赛F组第三轮,第3轮,2018-03-07,上海上港,蔚山现代,2-2,平
2018,中超联赛,中超联赛2轮,第2轮,2018-03-10,上海申花,上海上港,0-2,胜
2018,亚冠联赛,亚冠联赛F组第四轮,第4轮,2018-03-13,蔚山现代,上海上港,0-1,胜
2018,中超联赛,中超联赛3轮,第3轮,2018-03-18,广州富力,上海上港,2-5,胜
2018,中超联赛,中超联赛4轮,第4轮,2018-03-30,上海上港,重庆力帆,2-1,胜
2018,亚冠联赛,亚冠联赛F组第五轮,第5轮,2018-04-04,上海上港,川崎前锋,1-1,平
2018,中超联赛,中超联赛5轮,第5轮,2018-04-08,河南建业,上海上港,1-2,胜
2018,中超联赛,中超联赛6轮,第6轮,2018-04-13,上海上港,河北华夏,2-0,胜
2018,亚冠联赛,亚冠联赛F组第六轮,第6轮,2018-04-18,墨尔本胜利,上海上港,2-1,负
2018,中超联赛,中超联赛7轮,第7轮,2018-04-22,上海上港,天津泰达,1-1,平
2018,足协杯,足协杯十六分之一决赛,十六分之一决赛,2018-04-25,陕西长安竞技,上海上港,0-1,胜
2018,中超联赛,中超联赛8轮,第8轮,2018-04-29,长春亚泰,上海上港,2-1,负
2018,足协杯,足协杯八分之一决赛,八分之一决赛,2018-05-02,上海上港,北京人和,0-0,平
2018,中超联赛,中超联赛9轮,第9轮,2018-05-05,上海上港,北京国安,1-2,负
2018,亚冠联赛,亚冠联赛八分之一决赛首回合轮,八分之一决赛首回合,2018-05-09,鹿岛鹿角,上海上港,3-1,负
2018,中超联赛,中超联赛10轮,第10轮,2018-05-12,贵州恒丰,上海上港,1-1,平
2018,亚冠联赛,亚冠联赛八分之一决赛次回合轮,八分之一决赛次回合,2018-05-16,上海上港,鹿岛鹿角,2-1,胜
2018,中超联赛,中超联赛11轮,第11轮,2018-05-20,上海上港,江苏苏宁,2-0,胜
2018,足协杯,足协杯四分之一决赛首回合轮,四分之一决赛首回合,2018-06-09,北京国安,上海上港,2-1,负
2018,中超联赛,中超联赛12轮,第12轮,2018-07-17,山东鲁能,上海上港,1-1,平
2018,足协杯,足协杯四分之一决赛次回合轮,四分之一决赛次回合,2018-07-25,上海上港,北京国安,2-1,胜
2018,中超联赛,中超联赛14轮,第14轮,2018-07-28,北京人和,上海上港,1-5,胜
2018,中超联赛,中超联赛15轮,第15轮,2018-08-01,上海上港,天津权健,4-1,胜
2018,中超联赛,中超联赛16轮,第16轮,2018-08-05,大连一方,上海上港,1-0,负
2018,中超联赛,中超联赛17轮,第17轮,2018-08-11,上海上港,上海申花,2-0,胜
2018,中超联赛,中超联赛18轮,第18轮,2018-08-15,上海上港,广州富力,3-1,胜
2018,中超联赛,中超联赛19轮,第19轮,2018-08-18,重庆力帆,上海上港,2-3,胜
2018,中超联赛,中超联赛20轮,第20轮,2018-08-25,上海上港,河南建业,2-1,胜
2018,中超联赛,中超联赛21轮,第21轮,2018-09-01,河北华夏,上海上港,1-1,平
2018,中超联赛,中超联赛22轮,第22轮,2018-09-14,天津泰达,上海上港,2-5,胜
2018,中超联赛,中超联赛13(补赛)轮,第13轮（补赛）,2018-09-18,上海上港,广州恒大,2-1,胜
2018,中超联赛,中超联赛23轮,第23轮,2018-09-22,上海上港,长春亚泰,3-1,胜
2018,中超联赛,中超联赛24轮,第24轮,2018-09-29,北京国安,上海上港,0-1,胜
2018,中超联赛,中超联赛25轮,第25轮,2018-10-07,上海上港,贵州恒丰,5-0,胜
2018,中超联赛,中超联赛26轮,第26轮,2018-10-21,江苏苏宁,上海上港,0-0,平
2018,中超联赛,中超联赛27轮,第27轮,2018-10-28,上海上港,山东鲁能,4-2,胜
2018,中超联赛,中超联赛28轮,第28轮,2018-11-03,广州恒大,上海上港,4-5,胜
2018,中超联赛,中超联赛29轮,第29轮,2018-11-07,上海上港,北京人和,2-1,胜
2018,中超联赛,中超联赛30轮,第30轮,2018-11-11,天津权健,上海上港,3-2,负
2019,超级杯,超级杯nan轮,,2019-02-23,上海上港,北京国安,2-0,胜
2019,中超联赛,中超联赛1轮,第1轮,2019-03-01,上海申花,上海上港,0-4,胜
2019,亚冠联赛,亚冠联赛H组第一轮,第1轮,2019-03-06,上海上港,川崎前锋,1-0,胜
2019,中超联赛,中超联赛2轮,第2轮,2019-03-09,上海上港,江苏苏宁,3-2,胜
2019,亚冠联赛,亚冠联赛H组第二轮,第2轮,2019-03-13,蔚山现代,上海上港,1-0,负
2019,中超联赛,中超联赛3轮,第3轮,2019-03-30,河北华夏,上海上港,1-2,胜
2019,中超联赛,中超联赛4轮,第4轮,2019-04-05,上海上港,重庆力帆,2-3,负
2019,亚冠联赛,亚冠联赛H组第三轮,第3轮,2019-04-10,悉尼FC,上海上港,3-3,平
2019,中超联赛,中超联赛5轮,第5轮,2019-04-14,上海上港,武汉卓尔,2-1,胜
2019,中超联赛,中超联赛6轮,第6轮,2019-04-19,天津天海,上海上港,0-0,平
2019,亚冠联赛,亚冠联赛H组第四轮,第4轮,2019-04-23,上海上港,悉尼FC,2-2,平
2019,中超联赛,中超联赛7轮,第7轮,2019-04-28,天津泰达,上海上港,0-2,胜
2019,足协杯,足协杯十六分之一决赛,十六分之一决赛,2019-05-01,武汉卓尔,上海上港,1-3,胜
2019,中超联赛,中超联赛8轮,第8轮,2019-05-04,上海上港,广州富力,2-0,胜
2019,亚冠联赛,亚冠联赛H组第五轮,第5轮,2019-05-07,川崎前锋,上海上港,2-2,平
2019,中超联赛,中超联赛9轮,第9轮,2019-05-12,上海上港,山东鲁能,2-1,胜
2019,中超联赛,中超联赛10轮,第10轮,2019-05-17,河南建业,上海上港,0-1,胜
2019,亚冠联赛,亚冠联赛H组第六轮,第6轮,2019-05-21,上海上港,蔚山现代,5-0,胜
2019,中超联赛,中超联赛11轮,第11轮,2019-05-26,上海上港,北京国安,2-1,胜
2019,足协杯,足协杯八分之一决赛,八分之一决赛,2019-05-29,上海上港,吉林百嘉,4-0,胜
2019,中超联赛,中超联赛12轮,第12轮,2019-06-02,大连一方,上海上港,1-2,胜
2019,中超联赛,中超联赛13轮,第13轮,2019-06-14,上海上港,广州恒大,0-2,负
2019,亚冠联赛,亚冠联赛八分之一决赛首回合轮,八分之一决赛首回合,2019-06-19,上海上港,全北现代,1-1,平
2019,中超联赛,中超联赛14轮,第14轮,2019-06-22,上海上港,北京人和,3-0,胜
2019,亚冠联赛,亚冠联赛八分之一决赛次回合轮,八分之一决赛次回合,2019-06-26,全北现代,上海上港,1-1,平
2019,中超联赛,中超联赛15轮,第15轮,2019-06-30,深圳佳兆业,上海上港,0-1,胜
2019,中超联赛,中超联赛16轮,第16轮,2019-07-06,上海上港,上海申花,3-1,胜
2019,中超联赛,中超联赛17轮,第17轮,2019-07-13,江苏苏宁,上海上港,0-3,胜
2019,中超联赛,中超联赛18轮,第18轮,2019-07-17,上海上港,河北华夏,3-0,胜
2019,中超联赛,中超联赛19轮,第19轮,2019-07-21,重庆力帆,上海上港,2-2,平
2019,足协杯,足协杯四分之一决赛,四分之一决赛,2019-07-24,广州恒大,上海上港,0-2,胜
2019,中超联赛,中超联赛20轮,第20轮,2019-07-28,武汉卓尔,上海上港,1-1,平
2019,中超联赛,中超联赛21轮,第21轮,2019-08-03,上海上港,天津天海,0-0,平
2019,中超联赛,中超联赛23(提前)轮,23(提前),2019-08-09,广州富力,上海上港,2-2,平
2019,中超联赛,中超联赛22轮,第22轮,2019-08-14,上海上港,天津泰达,5-1,胜
2019,足协杯,足协杯半决赛,半决赛,2019-08-20,上海上港,山东鲁能,0-2,负
2019,亚冠联赛,亚冠联赛四分之一决赛首回合轮,四分之一决赛首回合,2019-08-27,上海上港,浦和红钻,2-2,平
2019,中超联赛,中超联赛24轮,第24轮,2019-09-13,山东鲁能,上海上港,3-1,负
2019,亚冠联赛,亚冠联赛四分之一决赛次回合轮,四分之一决赛次回合,2019-09-17,浦和红钻,上海上港,1-1,平
2019,中超联赛,中超联赛25轮,第25轮,2019-09-22,上海上港,河南建业,2-1,胜
2019,中超联赛,中超联赛26轮,第26轮,2019-10-19,北京国安,上海上港,0-2,胜
